username,country,score,date_written,positive,negative,tags,hotel
Francisco,España,9.0,Escrito en 20 de agosto de 2025,,El sofá cama no era comodo,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 4 noches', '•Enviado por móvil']",Vitoria
Gemma,España,9.0,Escrito en 19 de agosto de 2025,Estaba todo perfecto,Caro,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Jose,España,9.0,Escrito en 27 de julio de 2025,Ubicación y equipamiento,"La nevera, por la parte posterior, a veces vibraba en exceso","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches']",Vitoria
Sara,España,9.0,Escrito en 27 de julio de 2025,"Un apartamento bonito y moderno ideal para viajar una familia de cuatro miembros algunos días. Equipada con una cocina totalmente nueva con todos los pequeños electrodomésticos modernísimos. 
Cuenta con un dormitorio con armario y cómoda de tres cajones y una cama muy confortable, tanto colchón como almohadas. El sofá cama del salón quizás no tan cómodo, pero adecuado para dos niños o adolescentes.","Echamos en falta más luz artificial sobre todo en el baño y la falta estropajo, bayeta, una escoba con recogedor y fregona con cubo para mantener limpio el apartamento durante nuestra estancia.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 4 noches', '•Enviado por móvil']",Vitoria
Sergio,España,9.0,Escrito en 26 de julio de 2025,"Es un apartahotel muy comodo, bien ubicado y muy limpio. Con cocina bien equipada. Los muebles y el apartamento muy nuevo. Se entra fácil de manera on lline, con la clave que te envían o su aplicación. Y el garage, aunque de pago, es un punto a favor de la instalación.","Por decir algo, que no había cafetera en la cocina.
La echamos en falta.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']",Vitoria
Pedro,España,8.0,Escrito en 25 de julio de 2025,"Muy nuevo y todo lo necesario para unos dias, buena ubicación.",El sofá cama muy incómodo para dos personas,"['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 5 noches', '•Enviado por móvil']",Vitoria
Laura,España,9.0,Escrito en 25 de julio de 2025,Luminoso..céntrico..muy bien equipado..nos obsequiaron con dos botellas de agua y un snack y un pack de limpieza..cama y sofá cama muy cómodo..no vimos a nadie del personal..rodeado de bares y cafeterías muy ricas,Tuvimos un poco de dificultad al abrir la puerta del edificio pero se resolvió sin problema,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Ceballos,España,8.0,Escrito en 25 de julio de 2025,,No me gustó que no tienen persianas y entra claridad a las habitaciones.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Maria,España,7.0,Escrito en 25 de julio de 2025,"Muy bien ubicado, muy bien equipado, con lavadora, lavavajillas, horno microondas... decoración muy moderna y apartamento amplio, cafeterías para desayunar y en la misma calle hay zona de aparcamiwnto gratuito.",Que el sofá  se hundía cuando te sentabas y las tapicerias de sillones y cojines estaba con cercos de manchas al igual.que una de las fundas de almohada interiores que tenia unos cercos amarillos increibles de suciedad.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Noelia,España,9.0,Escrito en 25 de julio de 2025,Estaba muy cuidado.,Que no tuviera una escoba ni fregona,"['•Familia con niños pequeños', '•Apartamento con terraza', '•Estancia de 2 noches', '•Enviado por móvil']",Vitoria
M,España,8.0,Escrito en 25 de julio de 2025,"Esta a 10 mins de la catedral de Vitoria, es una finca de pisos turísticos que están muy limpios y nuevos y se accede con código",El sofá cama era horrible....no es nada intuitivo para abrirlo y se cerraba cada dos por tres..no descansaron nada las personas que durmieron ahí,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
María,España,8.0,Escrito en 25 de julio de 2025,"Bonito, buena ubicación, cocina bien equipada, buen detalle de bienvenida y el kit de limpieza.","Eché de menos una escoba y recogedor en el apartamento para el día a día a parte de la limpieza que se haga por parte de la empresa.
El sofá cama es incómodo para dormir más de un día.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']",Vitoria
Aurora,España,8.0,Escrito en 25 de julio de 2025,"Mal el horario de entradas,,debe ser cuando el cliente llegue, sea 8hs , 12"",,,,o 3de la mañanas, cada usuario es diferente y su estancia termina en 24hs, no cuando ustedes digan,,un  hotel está para éso dar servicio de hospedaje, no a su conveniencia,, mucho ruido las hb de frente a la calle gastéiz,,debería tener otro tipo de ventanas.","Garaje y desayunos, por el precio de estancia, debería incluir","['•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']",Vitoria
Teresa,España,7.0,Escrito en 24 de julio de 2025,"La ubicación y la comodidad de tener parking a 14€/día. Estaba todo muy bien equipado, con un kit de bienvenida y un kit de limpieza, el apartamento tiene todo lo necesario para estar en Vitoria unos días. Para los precios que hay de alojamientos en el País Vasco en general, este está muy bien.",El check in y todo el acceso al hotel es digital. Tener que estar poniendo el código para abrir cada puerta es un poco jaleo pero bueno. El sofá cama deberían renovarlo...,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches']",Vitoria
Monica,España,7.0,Escrito en 24 de julio de 2025,Ubicación y lavabo y cama habitación muy cómoda,"Sofá cama incómodo, aire solo iba en la habitación y faltaba la plancha para la ropa","['•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']",Vitoria
Alberto,España,10.0,Escrito en 23 de julio de 2025,"Espectacular apartamento, nuevo,bien equipado ,muy limpio, centrico",Nada,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']",Vitoria
Samaniegomiron,España,7.0,Escrito en 22 de julio de 2025,"El apartamento muy bonito, amplio, bien decorado y equipado con casi de todo, bien climatizado, las camas cómodas, incluso el sofá cama, lo mejor la ubicación y el parking al lado aunque debes contratarlo como extra.","Todos los extras que hay, si quieres que te cambien las sabanas y toallas un extra de 37 euros, no había cepillo ni recogedor para barrer pequeñas cosas supongo para que se necesite contratar el servicio de limpieza extra.El sistema de acceso con códigos da muchos problemas, nos fallaba mucho.El menaje de la cocina es muy escaso, solo había un cazo una cazuela grande y un escurridor de pasta, se hubiera agradecido tener una pequeña sartén para hacer una tortilla.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 6 noches']",Vitoria
Texenery,España,9.0,Escrito en 22 de julio de 2025,Es muy cómodo y moderno.,Ni un mísero detalle en la habitación. El sofá cama bastante incómodo.,"['•Viaje de ocio', '•Grupo', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche']",Vitoria
Maria,España,10.0,Escrito en 21 de julio de 2025,"Todo perfecto, muy limpio y todo muy bien organizado. esta a 15 minutos del centro caminando.",Me gusto todo,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Carlos,España,10.0,Escrito en 21 de julio de 2025,"Ubicacion espectacular, sin necesidad de coger transporte para vsisitar la ciudad.",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 5 noches']",Vitoria
Maria,España,9.0,Escrito en 21 de julio de 2025,Camas y diseño,,"['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']",Vitoria
Juan,España,8.0,Escrito en 20 de julio de 2025,"Buena ubicación, cerca del centro. 
Parking gratuito en la calle.
Moderno, bien equipado.
Cómodo. Abundantes cajones para ropa.","Imposible check-in antes de las 15:00h sin pagar extra.
No hay nadie en recepción para atender.
Código de acceso largo.
Prefiero trato personal, no virtual.
Imposibilidad de pagar en efectivo.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']",Vitoria
Yolanda,España,10.0,Escrito en 20 de julio de 2025,Para una noche q era de paso bastante bien,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
